IDENTIF	RIVER	LOCATION	ERECTED	PURPOSE	LENGTH	LANES	CLEAR-G	T-OR-D	MATERIAL	SPAN	REL-L	TYPE
E61	3	41	3	3	3	2	2	1	3	3	3	3
E60	1	24	3	4	2	4	2	1	3	3	3	3
E62	1	37	3	3	3	2	1	2	3	3	3	6
E63	1	31	3	3	3	2	2	1	3	2	3	3
E65	1	30	3	1			2	1	3		3	2
E64	1	29	3	4	1	4	2	1	3	2	3	4
E66	1	32	3	4	3	4	2	1	3	2	1	4
E70	1	27	3	4	1	4	2	1	3	2	2	2
E69	1	26	3	4	1	4	2	1	3	2	2	2
E101	3	46	3	4	2	2	2	1	3	3	2	5
E73	1	38	3	4	2		2	1	3	2	1	4
E72	2	5	3	4	3	4	1	2	3	2	2	5
E67	2	1	3	4	2	4	2	1	3	3	3	5
E75	1	30	3	4	3	4	2	2	3	2	3	4
E74	2	20	3	4	3	2	2	2	3	2	2	5
E71	1	25	3	4	1	4	2	1	3	2	2	2
E68	2	17	3	4	3	2	2	1	3	2	1	3
E78	3	40	3	4	2	4	2	1	3	3	3	4
E77	3	42	3	4	2	4	1	1	3	3	3	4
E76	2	6	3	4	2	4	2	1	3	3	3	2
E93	2	11	3	4	2	4	1	2	3	3	2	6
E79	1	34	3	4	2	4	2	2	3	2	3	5
E108	1	39.5	4	4	2	4	2	2	3	2	2	6
E107N	1	39.7	4	3	1	2	2	1	3	2	2	3
E105	1	38.5	4	4	2	2	1	2	3	2	2	6
E103	3	48	4	4	3	2	2	1	3	3	3	5
E97	4	52	4	4			2	1	3	2	1	4
E96	4	51	4	3			2	1	3	2	3	3
E99	2	23	4	4	2	2	2	1	3	2	2	3
E98	2	22	4	4	1	4	2	1	3	2	3	6
E81	2	14	4	4	3	4	2	2	3	3	3	6
E80	2	19	4	4	2	4	2	1	3	3	3	5
E88	1	37	4	4	3	4	1	2	3	3	3	6
E82	3	42	4	4	1		2	1	3		3	3
E102	3	47	4	4	2	2	2	1	3	3	3	6
E83	2	1	4	4	2	6	2	1	3	3	3	4
E86	1	33	4	4	1	4	2	2	3	2	2	6
E85	2	9	4	4	3	4	2	2	3	3	3	6
E84	1	24	4	4	1	6	2	1	3	2	3	4
E91	3	44	4	4	3	6	2	1	3	3	3	4
E90	2	7	4	4	1	6	2	1	3	3	3	4
E100	3	43	4	4			2				3	
E109	1	28	4	4			2				3	
