IDENTIF	RIVER	LOCATION	ERECTED	PURPOSE	LENGTH	LANES	CLEAR-G	T-OR-D	MATERIAL	SPAN	REL-L	TYPE
E24	O	45	1878	RR	?	2	G	?	STEEL	?	?	SIMPLE-T
E25	M	10	1882	RR	?	2	G	?	STEEL	?	?	SIMPLE-T
E27	A	39	1883	RR	?	2	G	THROUGH	STEEL	?	F	SIMPLE-T
E26	M	12	1883	RR	1150	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
E30	A	31	1884	RR	?	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E29	A	26	1884	HIGHWAY	1080	2	G	THROUGH	STEEL	MEDIUM	?	SUSPEN
E28	M	3	1884	HIGHWAY	1000	2	G	THROUGH	STEEL	MEDIUM	S	ARCH
E32	A	30	1887	HIGHWAY	?	2	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
E31	M	8	1887	RR	1161	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
E34	O	41	1888	RR	4558	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
E33	M	19	1889	HIGHWAY	1120	?	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
E36	O	45	1890	HIGHWAY	?	2	G	THROUGH	IRON	SHORT	F	SIMPLE-T
E35	A	27	1890	HIGHWAY	1000	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E38	M	17	1891	HIGHWAY	?	2	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
E37	M	18	1891	RR	1350	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
E39	A	25	1892	HIGHWAY	?	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E4	A	27	1892	AQUEDUCT	1092	1	N	THROUGH	WOOD	SHORT	S	WOOD
E40	M	22	1893	HIGHWAY	?	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E41	M	11	1894	HIGHWAY	?	2	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
E42	M	9	1895	HIGHWAY	2367	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
E44	O	48	1896	HIGHWAY	?	2	G	THROUGH	STEEL	LONG	F	SUSPEN
E43	M	7	1896	HIGHWAY	1040	2	G	THROUGH	STEEL	LONG	F	ARCH
E46	A	37	1897	RR	4000	2	G	DECK	STEEL	LONG	F	SIMPLE-T
E45	M	14	1897	RR	2264	?	G	THROUGH	STEEL	?	F	SIMPLE-T
E47	M	15	1898	RR	2000	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
E58	A	33	1900	HIGHWAY	1200	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E48	A	38	1900	HIGHWAY	2000	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E94	M	13	1901	RR	?	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
E49	A	34	1902	HIGHWAY	1850	2	G	THROUGH	STEEL	MEDIUM	F	CANTILEV
E95	M	16	1903	RR	1300	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
E87	A	35	1903	RR	3000	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
E51	M	6	1903	RR	1417	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E50	M	21	1903	RR	1154	?	G	THROUGH	STEEL	LONG	F	SIMPLE-T
E89	M	4	1904	RR	1200	2	G	THROUGH	STEEL	MEDIUM	S-F	SIMPLE-T
E53	A	28	1904	RR	965	4	G	THROUGH	STEEL	MEDIUM	S-F	SIMPLE-T
E52	M	2	1904	RR	1504	?	G	THROUGH	STEEL	LONG	F	CANTILEV
E54	Y	?	1908	HIGHWAY	1240	?	G	?	STEEL	MEDIUM	F	SIMPLE-T
E56	M	23	1909	HIGHWAY	?	?	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E55	A	36	1909	HIGHWAY	1730	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
E57	O	49	1910	RR	1620	2	G	THROUGH	STEEL	LONG	F	CANTILEV
E59	O	43	1911	HIGHWAY	1652	2	G	THROUGH	STEEL	LONG	F	CANTILEV
E107	A	39	1914	RR	?	?	G	?	STEEL	?	F	NIL
E92	M	10	1914	RR	2210	?	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E61	O	41	1915	RR	2822	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
E60	A	24	1915	HIGHWAY	1000	4	G	THROUGH	STEEL	LONG	F	SIMPLE-T
E62	A	37	1918	RR	2300	2	N	DECK	STEEL	LONG	F	CONT-T
E63	A	31	1920	RR	2122	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E65	A	30	1921	WALK	?	?	G	THROUGH	STEEL	?	F	SUSPEN
E64	A	29	1923	HIGHWAY	885	4	G	THROUGH	STEEL	MEDIUM	F	ARCH
E66	A	32	1924	HIGHWAY	2365	4	G	THROUGH	STEEL	MEDIUM	S	ARCH
E70	A	27	1926	HIGHWAY	860	4	G	THROUGH	STEEL	MEDIUM	S-F	SUSPEN
E69	A	26	1926	HIGHWAY	884	4	G	THROUGH	STEEL	MEDIUM	S-F	SUSPEN
E101	O	46	1927	HIGHWAY	1770	2	G	THROUGH	STEEL	LONG	S-F	CANTILEV
E73	A	38	1927	HIGHWAY	1508	?	G	THROUGH	STEEL	MEDIUM	S	ARCH
E72	M	5	1927	HIGHWAY	2663	4	N	DECK	STEEL	MEDIUM	S-F	CANTILEV
E67	M	1	1927	HIGHWAY	1330	4	G	THROUGH	STEEL	LONG	F	CANTILEV
E75	A	30	1928	HIGHWAY	2678	4	G	DECK	STEEL	MEDIUM	F	ARCH
E74	M	20	1928	HIGHWAY	2220	2	G	DECK	STEEL	MEDIUM	S-F	CANTILEV
E71	A	25	1928	HIGHWAY	860	4	G	THROUGH	STEEL	MEDIUM	S-F	SUSPEN
E68	M	17	1928	HIGHWAY	2250	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
E78	O	40	1931	HIGHWAY	1365	4	G	THROUGH	STEEL	LONG	F	ARCH
E77	O	42	1931	HIGHWAY	1450	4	N	THROUGH	STEEL	LONG	F	ARCH
E76	M	6	1931	HIGHWAY	1500	4	G	THROUGH	STEEL	LONG	F	SUSPEN
E93	M	11	1937	HIGHWAY	1690	4	N	DECK	STEEL	LONG	S-F	CONT-T
E79	A	34	1939	HIGHWAY	1800	4	G	DECK	STEEL	MEDIUM	F	CANTILEV
E108	A	39.5	1945	HIGHWAY	1060	4	G	DECK	STEEL	MEDIUM	S-F	CONT-T
E107N	A	39.7	1945	RR	840	2	G	THROUGH	STEEL	MEDIUM	S-F	SIMPLE-T
E105	A	38.5	1945	HIGHWAY	1710	2	N	DECK	STEEL	MEDIUM	S-F	CONT-T
E103	O	48	1945	HIGHWAY	2160	2	G	THROUGH	STEEL	LONG	F	CANTILEV
E97	Y	52	1945	HIGHWAY	?	?	G	THROUGH	STEEL	MEDIUM	S	ARCH
E96	Y	51	1945	RR	?	?	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
E99	M	23	1950	HIGHWAY	1320	2	G	THROUGH	STEEL	MEDIUM	S-F	SIMPLE-T
E98	M	22	1951	HIGHWAY	900	4	G	THROUGH	STEEL	MEDIUM	F	CONT-T
E81	M	14	1951	HIGHWAY	2423	4	G	DECK	STEEL	LONG	F	CONT-T
E80	M	19	1951	HIGHWAY	1031	4	G	THROUGH	STEEL	LONG	F	CANTILEV
E88	A	37	1955	HIGHWAY	2300	4	N	DECK	STEEL	LONG	F	CONT-T
E82	O	42	1955	HIGHWAY	804	?	G	THROUGH	STEEL	?	F	SIMPLE-T
E102	O	47	1959	HIGHWAY	1700	2	G	THROUGH	STEEL	LONG	F	CONT-T
E83	M	1	1959	HIGHWAY	1000	6	G	THROUGH	STEEL	LONG	F	ARCH
E86	A	33	1961	HIGHWAY	980	4	G	DECK	STEEL	MEDIUM	S-F	CONT-T
E85	M	9	1962	HIGHWAY	2213	4	G	DECK	STEEL	LONG	F	CONT-T
E84	A	24	1969	HIGHWAY	870	6	G	THROUGH	STEEL	MEDIUM	F	ARCH
E91	O	44	1975	HIGHWAY	3756	6	G	THROUGH	STEEL	LONG	F	ARCH
E90	M	7	1978	HIGHWAY	950	6	G	THROUGH	STEEL	LONG	F	ARCH
E100	O	43	1982	HIGHWAY	?	?	G	?	?	?	F	?
E109	A	28	1986	HIGHWAY	?	?	G	?	?	?	F	?
