tl	tm	tr	ml	mm	mr	bl	bm	br	y
o	o	x	b	b	x	b	b	x	p
o	o	x	b	b	o	x	x	x	p
o	o	b	x	x	x	x	o	b	p
o	o	b	x	x	x	x	b	o	p
o	o	b	x	x	x	o	x	b	p
o	o	b	x	x	x	o	b	x	p
o	o	b	x	x	x	b	x	o	p
o	o	b	x	x	x	b	o	x	p
o	o	b	x	x	x	b	b	b	p
o	o	b	x	o	b	x	x	x	p
o	o	b	x	b	o	x	x	x	p
o	o	b	o	x	b	x	x	x	p
o	o	b	o	b	x	x	x	x	p
o	o	b	b	x	o	x	x	x	p
o	o	b	b	o	x	x	x	x	p
o	o	b	b	b	b	x	x	x	p
o	b	x	x	x	x	o	o	b	p
o	b	x	x	x	x	o	b	o	p
o	b	x	x	x	x	b	o	o	p
o	b	x	x	x	o	x	o	b	p
o	b	x	x	x	o	x	b	o	p
o	b	x	x	x	b	x	o	o	p
o	b	x	x	o	x	o	b	x	p
o	b	x	x	o	x	b	o	x	p
o	b	x	x	b	x	o	o	x	p
o	b	x	o	x	x	x	o	b	p
o	b	x	o	x	x	x	b	o	p
o	b	x	o	x	x	b	o	x	p
o	b	x	o	x	o	x	x	b	p
o	b	x	o	x	o	x	b	x	p
o	b	x	o	x	b	x	x	o	p
o	b	x	o	x	b	x	o	x	p
o	b	x	o	x	b	x	b	b	p
o	b	x	o	o	x	x	b	x	p
o	b	x	o	o	x	b	x	x	p
o	b	x	o	o	b	x	x	x	p
o	b	x	o	b	x	x	o	x	p
o	b	x	o	b	x	b	b	x	p
o	b	x	o	b	o	x	x	x	p
o	b	x	b	x	x	x	o	o	p
o	b	x	b	x	x	o	o	x	p
o	b	x	b	x	o	x	x	o	p
o	b	x	b	x	o	x	o	x	p
o	b	x	b	x	o	x	b	b	p
o	b	x	b	x	b	x	o	b	p
o	b	x	b	x	b	x	b	o	p
o	b	x	b	o	x	x	o	x	p
o	b	x	b	o	x	o	x	x	p
o	b	x	b	o	x	b	b	x	p
o	b	x	b	o	o	x	x	x	p
o	b	x	b	b	x	o	b	x	p
o	b	x	b	b	x	b	o	x	p
o	b	o	x	x	x	x	o	b	p
o	b	o	x	x	x	x	b	o	p
o	b	o	x	x	x	o	x	b	p
o	b	o	x	x	x	o	b	x	p
o	b	o	x	x	x	b	x	o	p
o	b	o	x	x	x	b	o	x	p
o	b	o	x	x	x	b	b	b	p
o	b	o	x	o	b	x	x	x	p
o	b	o	x	b	o	x	x	x	p
o	b	o	o	x	b	x	x	x	p
o	b	o	o	b	x	x	x	x	p
o	b	o	b	x	o	x	x	x	p
o	b	o	b	o	x	x	x	x	p
o	b	o	b	b	b	x	x	x	p
o	b	b	x	x	x	x	o	o	p
o	b	b	x	x	x	o	x	o	p
o	b	b	x	x	x	o	o	x	p
o	b	b	x	x	x	o	b	b	p
o	b	b	x	x	x	b	o	b	p
o	b	b	x	x	x	b	b	o	p
o	b	b	x	o	o	x	x	x	p
o	b	b	o	x	o	x	x	x	p
o	b	b	o	o	x	x	x	x	p
o	b	b	o	b	b	x	x	x	p
o	b	b	b	o	b	x	x	x	p
o	b	b	b	b	o	x	x	x	p
b	x	x	o	x	o	x	o	b	p
b	x	x	o	x	o	x	b	o	p
b	x	x	o	x	o	o	x	b	p
b	x	x	o	x	o	b	x	o	p
b	x	x	o	x	b	x	o	o	p
b	x	x	o	x	b	o	x	o	p
b	x	x	o	o	x	o	b	x	p
b	x	x	o	o	x	b	o	x	p
b	x	x	o	b	x	o	o	x	p
b	x	x	b	x	o	x	o	o	p
b	x	x	b	x	o	o	x	o	p
b	x	x	b	o	x	o	o	x	p
b	x	o	x	x	x	o	o	b	p
b	x	o	x	x	x	o	b	o	p
b	x	o	x	x	x	b	o	o	p
b	x	o	x	x	o	o	x	b	p
b	x	o	x	x	b	o	x	o	p
b	x	o	o	x	x	o	x	b	p
b	x	o	o	x	x	b	x	o	p
b	x	o	o	x	o	x	x	b	p
b	x	o	o	x	o	b	x	x	p
b	x	o	o	x	b	x	x	o	p
b	x	o	o	x	b	o	x	x	p
b	x	o	o	x	b	b	x	b	p
b	x	o	o	o	b	x	x	x	p
b	x	o	o	b	o	x	x	x	p
b	x	o	b	x	x	o	x	o	p
b	x	o	b	x	o	o	x	x	p
b	x	o	b	x	o	b	x	b	p
b	x	o	b	x	b	o	x	b	p
b	x	o	b	x	b	b	x	o	p
b	x	o	b	o	o	x	x	x	p
b	x	b	x	x	o	o	x	o	p
b	x	b	o	x	x	o	x	o	p
b	x	b	o	x	o	x	x	o	p
b	x	b	o	x	o	o	x	x	p
b	x	b	o	x	o	b	x	b	p
b	x	b	o	x	b	o	x	b	p
b	x	b	o	x	b	b	x	o	p
b	x	b	b	x	o	o	x	b	p
b	x	b	b	x	o	b	x	o	p
b	x	b	b	x	b	o	x	o	p
b	o	x	x	x	x	o	o	b	p
b	o	x	x	x	x	o	b	o	p
b	o	x	x	x	x	b	o	o	p
b	o	x	x	x	o	x	o	b	p
b	o	x	x	x	o	x	b	o	p
b	o	x	x	x	b	x	o	o	p
b	o	x	x	o	x	o	b	x	p
b	o	x	x	b	x	o	o	x	p
b	o	x	o	x	x	x	o	b	p
b	o	x	o	x	x	x	b	o	p
b	o	x	o	x	x	o	b	x	p
b	o	x	o	x	x	b	o	x	p
b	o	x	o	x	o	x	x	b	p
b	o	x	o	x	o	x	b	x	p
b	o	x	o	x	b	x	x	o	p
b	o	x	o	x	b	x	o	x	p
b	o	x	o	x	b	x	b	b	p
b	o	x	o	o	x	x	b	x	p
b	o	x	o	o	x	b	x	x	p
b	o	x	o	o	b	x	x	x	p
b	o	x	o	b	x	x	o	x	p
b	o	x	o	b	x	o	x	x	p
b	o	x	o	b	x	b	b	x	p
b	o	x	o	b	o	x	x	x	p
b	o	x	b	x	x	x	o	o	p
b	o	x	b	x	x	o	o	x	p
b	o	x	b	x	o	x	x	o	p
b	o	x	b	x	o	x	o	x	p
b	o	x	b	x	o	x	b	b	p
b	o	x	b	x	b	x	o	b	p
b	o	x	b	x	b	x	b	o	p
b	o	x	b	o	x	o	x	x	p
b	o	x	b	o	x	b	b	x	p
b	o	x	b	o	o	x	x	x	p
b	o	x	b	b	x	o	b	x	p
b	o	x	b	b	x	b	o	x	p
b	o	o	x	x	x	x	o	b	p
b	o	o	x	x	x	x	b	o	p
b	o	o	x	x	x	o	x	b	p
b	o	o	x	x	x	o	b	x	p
b	o	o	x	x	x	b	x	o	p
b	o	o	x	x	x	b	o	x	p
b	o	o	x	x	x	b	b	b	p
b	o	o	x	o	b	x	x	x	p
b	o	o	x	b	o	x	x	x	p
b	o	o	o	x	b	x	x	x	p
b	o	o	o	b	x	x	x	x	p
b	o	o	b	x	o	x	x	x	p
b	o	o	b	o	x	x	x	x	p
b	o	o	b	b	b	x	x	x	p
b	o	b	x	x	x	x	o	o	p
b	o	b	x	x	x	o	x	o	p
b	o	b	x	x	x	o	o	x	p
b	o	b	x	x	x	o	b	b	p
b	o	b	x	x	x	b	o	b	p
b	o	b	x	x	x	b	b	o	p
b	o	b	x	o	o	x	x	x	p
b	o	b	o	x	o	x	x	x	p
b	o	b	o	o	x	x	x	x	p
b	o	b	o	b	b	x	x	x	p
b	o	b	b	o	b	x	x	x	p
b	o	b	b	b	o	x	x	x	p
b	b	x	x	x	o	x	o	o	p
b	b	x	x	o	x	o	o	x	p
b	b	x	o	x	x	x	o	o	p
b	b	x	o	x	x	o	o	x	p
b	b	x	o	x	o	x	x	o	p
b	b	x	o	x	o	x	o	x	p
b	b	x	o	x	o	x	b	b	p
b	b	x	o	x	b	x	o	b	p
b	b	x	o	x	b	x	b	o	p
b	b	x	o	o	x	x	o	x	p
b	b	x	o	o	x	o	x	x	p
b	b	x	o	o	x	b	b	x	p
b	b	x	o	b	x	o	b	x	p
b	b	x	o	b	x	b	o	x	p
b	b	x	b	x	o	x	o	b	p
b	b	x	b	x	o	x	b	o	p
b	b	x	b	x	b	x	o	o	p
b	b	x	b	o	x	o	b	x	p
b	b	x	b	o	x	b	o	x	p
b	b	x	b	b	x	o	o	x	p
b	b	o	x	x	x	x	o	o	p
b	b	o	x	x	x	o	x	o	p
b	b	o	x	x	x	o	o	x	p
b	b	o	x	x	x	o	b	b	p
b	b	o	x	x	x	b	o	b	p
b	b	o	x	x	x	b	b	o	p
b	b	o	x	o	o	x	x	x	p
b	b	o	o	x	o	x	x	x	p
b	b	o	o	o	x	x	x	x	p
b	b	o	o	b	b	x	x	x	p
b	b	o	b	o	b	x	x	x	p
b	b	o	b	b	o	x	x	x	p
b	b	b	x	x	x	o	o	b	p
b	b	b	x	x	x	o	b	o	p
b	b	b	x	x	x	b	o	o	p
b	b	b	o	o	b	x	x	x	p
b	b	b	o	b	o	x	x	x	p
b	b	b	b	o	o	x	x	x	p
x	x	o	x	x	o	o	b	o	n
x	x	o	x	x	o	b	o	o	n
x	x	o	x	x	b	o	o	o	n
x	x	o	x	o	x	o	o	b	n
x	x	o	x	o	x	o	b	o	n
x	x	o	x	o	o	o	x	b	n
x	x	o	x	o	o	o	b	x	n
x	x	o	x	o	o	b	x	o	n
x	x	o	x	o	b	o	x	o	n
x	x	o	x	o	b	o	o	x	n
x	x	o	x	o	b	o	b	b	n
x	x	o	x	b	x	o	o	o	n
x	x	o	x	b	o	o	x	o	n
x	x	o	x	b	o	b	b	o	n
x	x	o	o	x	o	x	b	o	n
x	x	o	o	o	x	o	x	b	n
x	x	o	o	o	x	o	b	x	n
x	x	o	o	o	o	x	x	b	n
x	x	o	o	o	o	x	b	x	n
x	x	o	o	o	o	b	x	x	n
x	x	o	o	o	b	o	x	x	n
x	x	o	o	b	o	x	x	o	n
x	x	o	b	x	x	o	o	o	n
x	x	o	b	x	o	x	o	o	n
x	x	o	b	x	o	b	b	o	n
x	x	o	b	o	x	o	x	o	n
x	x	o	b	o	x	o	o	x	n
x	x	o	b	o	x	o	b	b	n
x	x	o	b	o	o	x	x	o	n
x	x	o	b	o	o	o	x	x	n
x	x	o	b	o	b	o	x	b	n
x	x	o	b	o	b	o	b	x	n
x	x	o	b	b	o	x	b	o	n
x	x	o	b	b	o	b	x	o	n
x	x	b	x	x	o	o	o	o	n
x	x	b	x	o	x	o	o	o	n
x	x	b	x	b	b	o	o	o	n
x	x	b	o	x	x	o	o	o	n
x	x	b	o	o	o	x	x	o	n
x	x	b	o	o	o	x	o	x	n
x	x	b	o	o	o	x	b	b	n
x	x	b	o	o	o	o	x	x	n
x	x	b	o	o	o	b	x	b	n
x	x	b	o	o	o	b	b	x	n
x	x	b	b	x	b	o	o	o	n
x	x	b	b	b	x	o	o	o	n
x	o	x	x	x	b	o	o	o	n
x	o	x	x	o	x	o	o	b	n
x	o	x	x	o	x	b	o	o	n
x	o	x	x	o	o	b	o	x	n
x	o	x	x	o	b	o	o	x	n
x	o	x	x	o	b	b	o	b	n
x	o	x	x	b	x	o	o	o	n
x	o	x	o	o	x	x	o	b	n
x	o	x	o	o	o	x	x	b	n
x	o	x	o	o	o	x	b	x	n
x	o	x	o	o	o	b	x	x	n
x	o	x	o	o	b	x	o	x	n
x	o	x	b	x	x	o	o	o	n
x	o	x	b	o	x	x	o	o	n
x	o	x	b	o	x	b	o	b	n
x	o	x	b	o	o	x	o	x	n
x	o	x	b	o	b	x	o	b	n
x	o	x	b	o	b	b	o	x	n
x	o	o	x	x	o	b	x	o	n
x	o	o	x	o	x	o	x	b	n
x	o	o	x	o	x	o	b	x	n
x	o	o	x	o	x	b	o	x	n
x	o	o	x	o	b	o	x	x	n
