age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	y
24.000000	Private	247564.000000	HS-grad	9.000000	Never-married	Craft-repair	Not-in-family	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
47.000000	Private	241832.000000	9th	5.000000	Married-spouse-absent	Handlers-cleaners	Unmarried	White	Male	0.000000	0.000000	40.000000	El-Salvador	<=50K
43.000000	Private	154374.000000	Some-college	10.000000	Married-civ-spouse	Craft-repair	Husband	White	Male	15024.000000	0.000000	60.000000	United-States	>50K
30.000000	Private	189620.000000	Bachelors	13.000000	Never-married	Prof-specialty	Own-child	White	Female	0.000000	0.000000	40.000000	Poland	<=50K
28.000000	Private	296450.000000	Bachelors	13.000000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
42.000000	Private	169628.000000	Some-college	10.000000	Divorced	Adm-clerical	Not-in-family	Black	Female	0.000000	0.000000	38.000000	United-States	<=50K
42.000000	Private	176286.000000	Assoc-acdm	12.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000000	0.000000	40.000000	United-States	>50K
39.000000	Self-emp-inc	329980.000000	Bachelors	13.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024.000000	0.000000	50.000000	United-States	>50K
66.000000	Private	271567.000000	HS-grad	9.000000	Separated	Machine-op-inspct	Not-in-family	Black	Male	0.000000	0.000000	40.000000	United-States	<=50K
54.000000	Self-emp-not-inc	123011.000000	HS-grad	9.000000	Married-civ-spouse	Craft-repair	Husband	White	Male	15024.000000	0.000000	52.000000	United-States	>50K
33.000000	Private	26973.000000	Assoc-voc	11.000000	Married-civ-spouse	Tech-support	Wife	White	Female	0.000000	0.000000	40.000000	United-States	>50K
48.000000	Private	207848.000000	10th	6.000000	Married-civ-spouse	Adm-clerical	Wife	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
33.000000	Private	35378.000000	Bachelors	13.000000	Married-civ-spouse	Sales	Wife	White	Female	0.000000	0.000000	45.000000	United-States	>50K
41.000000	Private	227644.000000	HS-grad	9.000000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000000	0.000000	50.000000	United-States	<=50K
20.000000	Private	411862.000000	Assoc-voc	11.000000	Never-married	Other-service	Not-in-family	White	Male	0.000000	0.000000	30.000000	United-States	<=50K
38.000000	Private	22245.000000	Masters	14.000000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000000	0.000000	72.000000	?	>50K
41.000000	Private	265266.000000	Assoc-acdm	12.000000	Married-civ-spouse	Tech-support	Husband	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
61.000000	Self-emp-not-inc	30073.000000	HS-grad	9.000000	Married-civ-spouse	Farming-fishing	Husband	White	Male	0.000000	1848.000000	60.000000	United-States	>50K
39.000000	Private	24342.000000	Bachelors	13.000000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000000	0.000000	40.000000	United-States	>50K
41.000000	Private	421871.000000	HS-grad	9.000000	Married-civ-spouse	Craft-repair	Husband	Black	Male	0.000000	0.000000	40.000000	United-States	>50K
21.000000	Private	57711.000000	HS-grad	9.000000	Never-married	Other-service	Not-in-family	White	Female	0.000000	0.000000	30.000000	United-States	<=50K
59.000000	Private	183606.000000	11th	7.000000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
37.000000	Local-gov	118909.000000	HS-grad	9.000000	Divorced	Adm-clerical	Unmarried	Black	Female	0.000000	0.000000	35.000000	United-States	<=50K
65.000000	Without-pay	27012.000000	7th-8th	4.000000	Widowed	Farming-fishing	Unmarried	White	Female	0.000000	0.000000	50.000000	United-States	<=50K
46.000000	Private	243190.000000	HS-grad	9.000000	Married-civ-spouse	Adm-clerical	Wife	White	Female	7688.000000	0.000000	40.000000	United-States	>50K
48.000000	Self-emp-not-inc	104790.000000	11th	7.000000	Married-civ-spouse	Farming-fishing	Husband	White	Male	0.000000	0.000000	50.000000	United-States	>50K
36.000000	Private	24106.000000	HS-grad	9.000000	Married-civ-spouse	Craft-repair	Husband	White	Male	3103.000000	0.000000	40.000000	United-States	>50K
32.000000	Private	211699.000000	Assoc-acdm	12.000000	Married-civ-spouse	Exec-managerial	Wife	White	Female	0.000000	1485.000000	40.000000	United-States	>50K
59.000000	Local-gov	120617.000000	HS-grad	9.000000	Separated	Protective-serv	Unmarried	Black	Female	0.000000	0.000000	40.000000	United-States	<=50K
47.000000	?	331650.000000	HS-grad	9.000000	Married-civ-spouse	?	Wife	White	Female	0.000000	0.000000	8.000000	United-States	>50K
41.000000	Private	222142.000000	HS-grad	9.000000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
27.000000	Private	359155.000000	Bachelors	13.000000	Married-civ-spouse	Prof-specialty	Wife	White	Female	0.000000	0.000000	40.000000	United-States	>50K
31.000000	Private	165148.000000	HS-grad	9.000000	Separated	Exec-managerial	Unmarried	White	Female	0.000000	0.000000	12.000000	United-States	<=50K
30.000000	Private	270577.000000	HS-grad	9.000000	Separated	Adm-clerical	Unmarried	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
32.000000	Local-gov	222900.000000	Bachelors	13.000000	Separated	Prof-specialty	Not-in-family	White	Female	0.000000	0.000000	50.000000	United-States	>50K
25.000000	Private	157900.000000	Some-college	10.000000	Separated	Adm-clerical	Unmarried	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
32.000000	Private	235124.000000	Assoc-voc	11.000000	Divorced	Prof-specialty	Not-in-family	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
36.000000	Private	116358.000000	Masters	14.000000	Married-civ-spouse	Exec-managerial	Husband	Asian-Pac-Islander	Male	0.000000	0.000000	40.000000	Taiwan	>50K
55.000000	Private	67450.000000	Doctorate	16.000000	Never-married	Prof-specialty	Not-in-family	White	Male	0.000000	0.000000	40.000000	England	<=50K
25.000000	Private	302465.000000	12th	8.000000	Never-married	Machine-op-inspct	Not-in-family	White	Male	0.000000	1741.000000	40.000000	United-States	<=50K
31.000000	Private	100997.000000	Some-college	10.000000	Married-civ-spouse	Prof-specialty	Husband	Amer-Indian-Eskimo	Male	0.000000	0.000000	40.000000	United-States	<=50K
41.000000	Private	195897.000000	Some-college	10.000000	Married-civ-spouse	Sales	Husband	White	Male	0.000000	0.000000	50.000000	United-States	<=50K
29.000000	Private	490332.000000	Some-college	10.000000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000000	0.000000	45.000000	United-States	>50K
43.000000	Private	57600.000000	Doctorate	16.000000	Married-spouse-absent	Prof-specialty	Not-in-family	White	Female	0.000000	0.000000	40.000000	?	<=50K
23.000000	Private	334357.000000	HS-grad	9.000000	Never-married	Adm-clerical	Own-child	Black	Female	0.000000	0.000000	40.000000	United-States	<=50K
43.000000	Private	96102.000000	Masters	14.000000	Married-spouse-absent	Exec-managerial	Not-in-family	White	Male	0.000000	0.000000	50.000000	United-States	<=50K
18.000000	Private	57413.000000	Some-college	10.000000	Divorced	Other-service	Own-child	White	Male	0.000000	0.000000	15.000000	United-States	<=50K
32.000000	Private	185410.000000	HS-grad	9.000000	Never-married	Adm-clerical	Not-in-family	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
54.000000	Private	96710.000000	HS-grad	9.000000	Married-civ-spouse	Priv-house-serv	Other-relative	Black	Female	0.000000	0.000000	20.000000	United-States	<=50K
80.000000	Self-emp-not-inc	184335.000000	7th-8th	4.000000	Married-civ-spouse	Farming-fishing	Husband	White	Male	0.000000	0.000000	30.000000	United-States	<=50K
34.000000	Private	171159.000000	Some-college	10.000000	Divorced	Adm-clerical	Unmarried	White	Female	0.000000	0.000000	30.000000	United-States	<=50K
41.000000	Private	443508.000000	Bachelors	13.000000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000000	0.000000	48.000000	Canada	>50K
27.000000	State-gov	194773.000000	Masters	14.000000	Never-married	Prof-specialty	Not-in-family	White	Female	0.000000	0.000000	50.000000	Germany	<=50K
44.000000	Self-emp-inc	133060.000000	Some-college	10.000000	Divorced	Machine-op-inspct	Not-in-family	White	Male	0.000000	0.000000	60.000000	United-States	<=50K
35.000000	Private	25955.000000	11th	7.000000	Never-married	Other-service	Unmarried	Amer-Indian-Eskimo	Male	0.000000	0.000000	40.000000	United-States	<=50K
19.000000	Federal-gov	30559.000000	HS-grad	9.000000	Married-AF-spouse	Sales	Wife	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
29.000000	Local-gov	123983.000000	Masters	14.000000	Never-married	Prof-specialty	Own-child	Asian-Pac-Islander	Male	0.000000	0.000000	40.000000	Taiwan	<=50K
81.000000	Private	114670.000000	9th	5.000000	Widowed	Priv-house-serv	Not-in-family	Black	Female	2062.000000	0.000000	5.000000	United-States	<=50K
75.000000	Private	200068.000000	Some-college	10.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000000	0.000000	35.000000	United-States	>50K
22.000000	?	35448.000000	HS-grad	9.000000	Married-civ-spouse	?	Wife	White	Female	0.000000	0.000000	22.000000	United-States	<=50K
69.000000	Local-gov	122850.000000	10th	6.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000000	0.000000	20.000000	United-States	<=50K
20.000000	Private	283499.000000	Some-college	10.000000	Never-married	Transport-moving	Own-child	White	Male	0.000000	0.000000	30.000000	United-States	<=50K
27.000000	Private	301654.000000	HS-grad	9.000000	Never-married	Exec-managerial	Own-child	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
33.000000	Private	220939.000000	HS-grad	9.000000	Married-civ-spouse	Sales	Husband	White	Male	7298.000000	0.000000	45.000000	United-States	>50K
59.000000	Private	374924.000000	HS-grad	9.000000	Separated	Sales	Unmarried	Black	Female	0.000000	0.000000	40.000000	United-States	<=50K
45.000000	Local-gov	160472.000000	Bachelors	13.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000000	1977.000000	50.000000	United-States	>50K
32.000000	?	53042.000000	HS-grad	9.000000	Never-married	?	Own-child	Black	Male	0.000000	0.000000	40.000000	United-States	<=50K
36.000000	Self-emp-not-inc	367020.000000	7th-8th	4.000000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000000	0.000000	35.000000	United-States	<=50K
30.000000	Private	91145.000000	HS-grad	9.000000	Never-married	Handlers-cleaners	Unmarried	White	Male	0.000000	0.000000	55.000000	United-States	<=50K
45.000000	Private	183168.000000	Bachelors	13.000000	Divorced	Exec-managerial	Unmarried	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
33.000000	Private	83446.000000	11th	7.000000	Divorced	Exec-managerial	Unmarried	White	Female	0.000000	0.000000	40.000000	United-States	>50K
53.000000	Private	374588.000000	HS-grad	9.000000	Married-civ-spouse	Transport-moving	Husband	Black	Male	0.000000	0.000000	60.000000	United-States	<=50K
31.000000	Private	197023.000000	Assoc-voc	11.000000	Married-civ-spouse	Machine-op-inspct	Husband	Amer-Indian-Eskimo	Male	0.000000	0.000000	40.000000	United-States	<=50K
47.000000	Private	229737.000000	HS-grad	9.000000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000000	0.000000	45.000000	United-States	>50K
29.000000	Private	151476.000000	Some-college	10.000000	Separated	Sales	Not-in-family	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
47.000000	Self-emp-inc	214169.000000	HS-grad	9.000000	Married-civ-spouse	Farming-fishing	Husband	White	Male	15024.000000	0.000000	40.000000	United-States	>50K
35.000000	Private	236910.000000	Bachelors	13.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000000	0.000000	60.000000	United-States	<=50K
34.000000	Private	30497.000000	Bachelors	13.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024.000000	0.000000	60.000000	United-States	>50K
38.000000	Private	270985.000000	Some-college	10.000000	Married-civ-spouse	Exec-managerial	Husband	Black	Male	0.000000	0.000000	50.000000	United-States	<=50K
36.000000	Private	160120.000000	HS-grad	9.000000	Married-civ-spouse	Adm-clerical	Husband	Asian-Pac-Islander	Male	0.000000	0.000000	40.000000	Vietnam	<=50K
52.000000	Private	101752.000000	Assoc-voc	11.000000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000000	0.000000	56.000000	United-States	<=50K
51.000000	Private	237729.000000	Some-college	10.000000	Divorced	Adm-clerical	Unmarried	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
24.000000	Private	123983.000000	11th	7.000000	Married-civ-spouse	Transport-moving	Husband	Asian-Pac-Islander	Male	0.000000	0.000000	40.000000	Vietnam	<=50K
51.000000	Private	254230.000000	Some-college	10.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000000	0.000000	40.000000	United-States	>50K
28.000000	Private	157391.000000	Bachelors	13.000000	Never-married	Sales	Own-child	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
35.000000	Private	87556.000000	HS-grad	9.000000	Divorced	Craft-repair	Not-in-family	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
52.000000	Private	202956.000000	7th-8th	4.000000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
46.000000	Private	95636.000000	Some-college	10.000000	Divorced	Handlers-cleaners	Not-in-family	White	Male	0.000000	0.000000	45.000000	United-States	<=50K
52.000000	Private	114062.000000	HS-grad	9.000000	Divorced	Craft-repair	Unmarried	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
18.000000	Private	129010.000000	12th	8.000000	Never-married	Craft-repair	Own-child	White	Male	0.000000	0.000000	10.000000	United-States	<=50K
54.000000	?	187221.000000	7th-8th	4.000000	Never-married	?	Not-in-family	White	Female	0.000000	0.000000	25.000000	United-States	<=50K
20.000000	Private	138768.000000	HS-grad	9.000000	Never-married	Handlers-cleaners	Own-child	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
43.000000	Private	243476.000000	HS-grad	9.000000	Divorced	Tech-support	Not-in-family	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
27.000000	Self-emp-not-inc	37302.000000	Assoc-acdm	12.000000	Married-civ-spouse	Transport-moving	Husband	White	Male	7688.000000	0.000000	70.000000	United-States	>50K
51.000000	Local-gov	240358.000000	HS-grad	9.000000	Married-civ-spouse	Protective-serv	Husband	White	Male	0.000000	0.000000	40.000000	United-States	>50K
40.000000	Private	20109.000000	Some-college	10.000000	Divorced	Handlers-cleaners	Not-in-family	Amer-Indian-Eskimo	Female	0.000000	0.000000	84.000000	United-States	<=50K
48.000000	Self-emp-not-inc	133694.000000	Bachelors	13.000000	Married-spouse-absent	Exec-managerial	Not-in-family	Black	Male	0.000000	0.000000	40.000000	Jamaica	>50K
53.000000	Private	88842.000000	HS-grad	9.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	99999.000000	0.000000	40.000000	United-States	>50K
45.000000	Private	123681.000000	HS-grad	9.000000	Married-civ-spouse	Sales	Husband	White	Male	0.000000	0.000000	40.000000	United-States	>50K
27.000000	Private	109165.000000	Some-college	10.000000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000000	0.000000	60.000000	United-States	<=50K
40.000000	Self-emp-not-inc	242082.000000	Bachelors	13.000000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000000	0.000000	45.000000	United-States	>50K
67.000000	State-gov	423561.000000	Some-college	10.000000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
33.000000	Private	191856.000000	Some-college	10.000000	Divorced	Adm-clerical	Not-in-family	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
22.000000	Private	237498.000000	HS-grad	9.000000	Never-married	Other-service	Own-child	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
47.000000	Private	121958.000000	7th-8th	4.000000	Married-spouse-absent	Other-service	Unmarried	White	Female	0.000000	0.000000	30.000000	United-States	<=50K
35.000000	Private	182467.000000	Assoc-voc	11.000000	Married-civ-spouse	Craft-repair	Wife	White	Female	0.000000	0.000000	44.000000	United-States	<=50K
39.000000	Private	245361.000000	Bachelors	13.000000	Divorced	Exec-managerial	Not-in-family	White	Female	0.000000	0.000000	25.000000	United-States	<=50K
30.000000	Private	112115.000000	HS-grad	9.000000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000000	0.000000	60.000000	Ireland	>50K
40.000000	Federal-gov	298635.000000	Masters	14.000000	Married-civ-spouse	Tech-support	Husband	Asian-Pac-Islander	Male	0.000000	1902.000000	40.000000	Philippines	>50K
50.000000	?	22428.000000	Masters	14.000000	Never-married	?	Not-in-family	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
20.000000	Private	275190.000000	HS-grad	9.000000	Never-married	Adm-clerical	Own-child	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
41.000000	Local-gov	88904.000000	Bachelors	13.000000	Separated	Prof-specialty	Unmarried	Black	Female	0.000000	0.000000	40.000000	United-States	<=50K
35.000000	Private	193026.000000	Bachelors	13.000000	Married-civ-spouse	Sales	Husband	White	Male	0.000000	0.000000	45.000000	United-States	>50K
28.000000	State-gov	286310.000000	HS-grad	9.000000	Married-civ-spouse	Adm-clerical	Own-child	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
65.000000	Local-gov	205024.000000	HS-grad	9.000000	Married-civ-spouse	Other-service	Husband	White	Male	0.000000	0.000000	8.000000	United-States	<=50K
19.000000	Private	29250.000000	Some-college	10.000000	Never-married	Prof-specialty	Own-child	White	Male	0.000000	0.000000	10.000000	United-States	<=50K
22.000000	Private	216181.000000	11th	7.000000	Never-married	Craft-repair	Own-child	White	Male	0.000000	0.000000	45.000000	United-States	<=50K
33.000000	Self-emp-not-inc	295591.000000	1st-4th	2.000000	Married-spouse-absent	Craft-repair	Not-in-family	White	Male	0.000000	0.000000	40.000000	Mexico	<=50K
41.000000	Private	279297.000000	HS-grad	9.000000	Never-married	Sales	Not-in-family	Black	Female	0.000000	0.000000	60.000000	United-States	<=50K
26.000000	Private	192506.000000	Bachelors	13.000000	Never-married	Other-service	Not-in-family	Black	Female	0.000000	0.000000	35.000000	United-States	<=50K
32.000000	?	134886.000000	HS-grad	9.000000	Married-civ-spouse	?	Wife	White	Female	0.000000	0.000000	2.000000	United-States	>50K
30.000000	Local-gov	154935.000000	Assoc-acdm	12.000000	Never-married	Protective-serv	Not-in-family	Black	Male	0.000000	0.000000	40.000000	United-States	<=50K
35.000000	?	253860.000000	HS-grad	9.000000	Divorced	?	Unmarried	White	Female	0.000000	0.000000	20.000000	United-States	<=50K
20.000000	Private	203003.000000	HS-grad	9.000000	Never-married	Transport-moving	Other-relative	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
90.000000	Private	141758.000000	9th	5.000000	Never-married	Adm-clerical	Not-in-family	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
49.000000	Private	204057.000000	Assoc-acdm	12.000000	Divorced	Exec-managerial	Not-in-family	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
31.000000	Private	202822.000000	Some-college	10.000000	Divorced	Adm-clerical	Unmarried	Black	Female	0.000000	0.000000	40.000000	United-States	<=50K
19.000000	Private	571853.000000	HS-grad	9.000000	Never-married	Other-service	Own-child	White	Male	0.000000	0.000000	30.000000	United-States	<=50K
26.000000	Local-gov	197530.000000	Masters	14.000000	Married-spouse-absent	Prof-specialty	Not-in-family	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
33.000000	State-gov	913447.000000	Some-college	10.000000	Divorced	Other-service	Unmarried	Black	Female	0.000000	0.000000	40.000000	United-States	<=50K
35.000000	Private	48123.000000	12th	8.000000	Married-civ-spouse	Craft-repair	Wife	White	Female	0.000000	0.000000	50.000000	United-States	<=50K
33.000000	Local-gov	198183.000000	Bachelors	13.000000	Never-married	Prof-specialty	Not-in-family	White	Female	0.000000	0.000000	50.000000	United-States	>50K
62.000000	?	235521.000000	HS-grad	9.000000	Married-civ-spouse	?	Husband	White	Male	0.000000	0.000000	48.000000	United-States	<=50K
34.000000	State-gov	595000.000000	Masters	14.000000	Married-civ-spouse	Prof-specialty	Wife	Black	Female	0.000000	0.000000	40.000000	United-States	>50K
55.000000	Private	81865.000000	Assoc-voc	11.000000	Divorced	Adm-clerical	Unmarried	Black	Female	0.000000	0.000000	40.000000	United-States	<=50K
32.000000	Self-emp-not-inc	173314.000000	Assoc-voc	11.000000	Married-civ-spouse	Prof-specialty	Husband	Other	Male	0.000000	0.000000	60.000000	United-States	<=50K
38.000000	Private	256864.000000	HS-grad	9.000000	Married-civ-spouse	Tech-support	Husband	White	Male	0.000000	0.000000	50.000000	United-States	>50K
53.000000	Local-gov	228723.000000	HS-grad	9.000000	Divorced	Craft-repair	Not-in-family	Other	Male	0.000000	0.000000	40.000000	?	>50K
19.000000	Private	129620.000000	10th	6.000000	Never-married	Other-service	Other-relative	White	Female	0.000000	0.000000	30.000000	United-States	<=50K
47.000000	Private	176140.000000	HS-grad	9.000000	Divorced	Exec-managerial	Unmarried	Black	Female	0.000000	0.000000	40.000000	United-States	>50K
33.000000	Private	292465.000000	9th	5.000000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000000	0.000000	50.000000	United-States	<=50K
27.000000	?	224421.000000	Some-college	10.000000	Divorced	?	Own-child	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
19.000000	Private	391329.000000	Some-college	10.000000	Never-married	Adm-clerical	Not-in-family	White	Female	0.000000	0.000000	30.000000	United-States	<=50K
22.000000	Private	117210.000000	Some-college	10.000000	Never-married	Adm-clerical	Own-child	White	Male	0.000000	0.000000	25.000000	Greece	<=50K
24.000000	Private	301199.000000	Some-college	10.000000	Never-married	Tech-support	Own-child	White	Female	0.000000	0.000000	20.000000	United-States	<=50K
59.000000	Private	359292.000000	1st-4th	2.000000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000000	0.000000	40.000000	Mexico	<=50K
29.000000	Private	83003.000000	HS-grad	9.000000	Married-civ-spouse	Other-service	Wife	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
26.000000	Private	150361.000000	Some-college	10.000000	Never-married	Tech-support	Own-child	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
33.000000	Federal-gov	339388.000000	Assoc-acdm	12.000000	Divorced	Other-service	Unmarried	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
43.000000	Private	83827.000000	HS-grad	9.000000	Divorced	Machine-op-inspct	Not-in-family	White	Female	0.000000	0.000000	24.000000	United-States	<=50K
26.000000	Private	236242.000000	Prof-school	15.000000	Never-married	Prof-specialty	Not-in-family	White	Female	0.000000	0.000000	30.000000	United-States	<=50K
44.000000	Private	45093.000000	HS-grad	9.000000	Married-civ-spouse	Farming-fishing	Husband	White	Male	0.000000	0.000000	70.000000	United-States	<=50K
58.000000	Self-emp-not-inc	204816.000000	Some-college	10.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000000	0.000000	60.000000	United-States	>50K
20.000000	Private	308239.000000	Some-college	10.000000	Never-married	Other-service	Own-child	White	Male	0.000000	0.000000	16.000000	United-States	<=50K
39.000000	Self-emp-inc	186934.000000	Bachelors	13.000000	Married-spouse-absent	Sales	Not-in-family	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
33.000000	Private	176711.000000	Assoc-acdm	12.000000	Never-married	Adm-clerical	Not-in-family	White	Male	0.000000	0.000000	50.000000	United-States	<=50K
38.000000	Private	51838.000000	HS-grad	9.000000	Married-civ-spouse	Prof-specialty	Wife	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
42.000000	Self-emp-not-inc	206066.000000	Masters	14.000000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000000	0.000000	65.000000	United-States	<=50K
24.000000	Private	211527.000000	Bachelors	13.000000	Never-married	Adm-clerical	Not-in-family	White	Male	0.000000	0.000000	30.000000	United-States	<=50K
25.000000	Private	25249.000000	Some-college	10.000000	Never-married	Adm-clerical	Not-in-family	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
