status	age	sex	survived
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	yes
first	adult	female	no
first	adult	female	no
first	adult	female	no
first	adult	female	no
first	child	male	yes
first	child	male	yes
first	child	male	yes
first	child	male	yes
first	child	male	yes
first	child	female	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	yes
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	male	no
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	yes
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	adult	female	no
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	male	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
second	child	female	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	yes
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	male	no
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	yes
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	adult	female	no
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	yes
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	male	no
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	yes
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
third	child	female	no
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
