y	a	b	c	d	e	f	instance
0	2	2	1	3	3	2	data_214
1	2	2	1	3	4	1	data_215
0	2	2	2	1	1	1	data_217
0	2	2	2	1	2	2	data_220
0	2	2	2	1	3	2	data_222
1	2	2	2	1	4	1	data_223
0	2	2	2	1	4	2	data_224
1	2	2	2	2	1	1	data_225
0	2	2	2	2	2	2	data_228
0	2	2	2	2	3	1	data_229
1	2	2	2	3	1	1	data_233
0	2	2	2	3	2	1	data_235
0	2	2	2	3	2	2	data_236
0	2	2	2	3	4	2	data_240
0	2	3	1	1	1	1	data_241
0	2	3	1	1	1	2	data_242
1	2	3	1	1	3	2	data_246
0	2	3	1	2	1	1	data_249
1	2	3	1	2	3	1	data_253
0	2	3	1	2	3	2	data_254
0	2	3	1	2	4	2	data_256
1	2	3	1	3	1	2	data_258
1	2	3	1	3	2	1	data_259
1	2	3	1	3	4	1	data_263
1	2	3	2	1	1	2	data_266
1	2	3	2	1	2	1	data_267
1	2	3	2	1	3	1	data_269
0	2	3	2	1	4	2	data_272
1	2	3	2	2	1	1	data_273
0	2	3	2	2	2	1	data_275
0	2	3	2	2	3	2	data_278
0	2	3	2	3	3	1	data_285
0	2	3	2	3	3	2	data_286
0	2	3	2	3	4	2	data_288
0	3	1	1	1	4	1	data_295
0	3	1	1	2	1	2	data_298
1	3	1	1	2	2	2	data_300
1	3	1	1	2	3	2	data_302
0	3	1	1	2	4	1	data_303
1	3	1	1	2	4	2	data_304
0	3	1	1	3	1	1	data_305
0	3	1	1	3	1	2	data_306
1	3	1	1	3	2	2	data_308
1	3	1	1	3	3	2	data_310
0	3	1	2	1	1	1	data_313
1	3	1	2	1	2	2	data_316
0	3	1	2	1	3	1	data_317
1	3	1	2	1	3	2	data_318
0	3	1	2	1	4	1	data_319
1	3	1	2	1	4	2	data_320
1	3	1	2	2	2	1	data_323
1	3	1	2	3	1	2	data_330
1	3	1	2	3	2	1	data_331
0	3	1	2	3	2	2	data_332
0	3	1	2	3	4	2	data_336
0	3	2	1	1	1	2	data_338
1	3	2	1	1	2	2	data_340
0	3	2	1	1	3	1	data_341
1	3	2	1	1	3	2	data_342
1	3	2	1	2	1	2	data_346
1	3	2	1	2	2	1	data_347
0	3	2	1	3	1	1	data_353
1	3	2	1	3	2	1	data_355
1	3	2	1	3	3	1	data_357
0	3	2	1	3	3	2	data_358
0	3	2	2	1	1	1	data_361
0	3	2	2	1	2	2	data_364
1	3	2	2	1	3	1	data_365
0	3	2	2	1	3	2	data_366
1	3	2	2	2	1	1	data_369
0	3	2	2	2	2	1	data_371
0	3	2	2	2	2	2	data_372
0	3	2	2	2	3	2	data_374
1	3	2	2	3	1	1	data_377
0	3	2	2	3	3	2	data_382
0	3	2	2	3	4	2	data_384
0	3	3	1	1	1	1	data_385
0	3	3	1	1	2	1	data_387
0	3	3	1	1	3	1	data_389
1	3	3	1	1	3	2	data_390
0	3	3	1	2	3	2	data_398
0	3	3	2	1	1	1	data_409
1	3	3	2	2	1	1	data_417
0	3	3	2	2	2	1	data_419
0	3	3	2	2	3	1	data_421
0	3	3	2	2	3	2	data_422
1	3	3	2	3	1	1	data_425
0	3	3	2	3	2	1	data_427
0	3	3	2	3	4	2	data_432
