Sponge	A.CAPAS_DEL_CORTEX 	A.CAPA_INTERNA_DEL_CORTEX 	A.CORTEX 	A.CORTEX_FIBROSO 	A.CORTEX_SOLO_DE_ESPICULAS_TANGENCIALES 	A.CUERPOS_EXTRANOS_EN_EL_CORTEX 	A.GROSOR_DEL_CORTEX 	A.HACES_DE_ESPICULAS_PRINCIPALES_EN_POMPON_EN_EL_CORTEX 	A.TILOSTILOS_ADICIONALES_COANOSOMA	B.NUMERO_DE_TIPOS_DE_MEGASCLERAS 	C.TIPO_ESPICULA_PRINCIPAL_DIACTINA_TUBERCULADA 	C.TIPO_ESPICULA_PRINCIPAL_ESTILO 	C.TIPO_ESPICULA_PRINCIPAL_ESTILOS_2_TAMANOS 	C.TIPO_ESPICULA_PRINCIPAL_ESTILO_TILOSTILO 	C.TIPO_ESPICULA_PRINCIPAL_ESTRONGILOXA 	C.TIPO_ESPICULA_PRINCIPAL_OXAS 	C.TIPO_ESPICULA_PRINCIPAL_TILOSTILO 	D.ESPICULA_PRINCIPAL_ESTILO 	D.ESPICULA_PRINCIPAL_TILOSTILO 	D.FORMA_BASE_TILOSTILO_PRINCIPAL 	E.DISPOSICION_MEGASCLERAS_ECTOSOMICAS_EN_EL_ECTOSOMA 	E.FORMA_BASE_TILOSTILO_ECTOSOMICO 	E.FORMA_MEGASCLERA_ECTOSOMICA 	E.TIPO_MEGASCLERA_ECTOSOMICA 	F.TIPO_DE_EXOSTILO 	G.FORMA_MEGASCLERA_INTERMEDIARIA 	G.TIPO_MEGASCLERA_INTERMEDIARIA 	H.LONGITUD_MEGASCLERAS 	I.MICROSCLERAS 	I.TIPO_MICROSCLERA 	J.ASTER 	J.DIAMETRO_ESFERASTER 	J.TIPO_DE_ASTER 	J.TIPO_DE_DIPLASTER 	J.TIPO_DE_ESFERASTER 	K.FORMA_FINAL 	L.NUMERO_DE_PAPILAS 	L.PAPILAS 	M.COLOR 	N.SUPERFICIE 	O.DISPOSICION_ESPICULAR_ESQUELETO 	P.ALOJA_CANGREJO_ERMITANO 	P.PERFORANTE 	P.PSEUDORAICES 	P.SUSTRATO
DIPLASTRELLA_ORNATA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	SI	ASTER	SI	SIN_ESFERASTER	DIPLASTER	CON_ACTINAS_COMPLEJAS	SIN_ESFERASTER	INCRUSTANTE	0	NO	?	RUGOSA	HYMEDESMOIDE	NO	NO	NO	DURO
LAXOSUBERITES_ECTYONIMUS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	2_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	0	NO	?	LISA	PLUMOSA	NO	NO	NO	DURO
LAXOSUBERITES_FERRERHERNANDEZI	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	2_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	TRILOBULADA	RAMILLETES	TRILOBULADA_CON_VESICULA_AXIAL	CURVADA	TILOSTILO	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	0	NO	OTROS	RUGOSA	PLUMOSA	NO	NO	NO	DURO
LAXOSUBERITES_RUGOSUS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	NORMAL	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	0	NO	OTROS	TOTALMENTE_HISPIDA	PLUMOSA	NO	NO	NO	DURO
OXYCORDYLA_PELLITA	1_CAPA	SIN_CAPA_INTERNA_DEL_CORTEX	SI	NO	SI	NO	1	NO	SIN_TILOSTILOS_ADICIONALES	3_TIPOS	NO	SI	NO	NO	SI	NO	NO	NORMAL	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	TANGENCIALES	SIN_TILOSTILO_ECTOSOMICO	CURVADA	OXAS_ESTRONGILOXAS	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	SI	MICROESTILOS_Y_MICROXAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	0	NO	AMARILLO_PALIDO	LISA	RADIAL	NO	NO	NO	DURO
POLYMASTIA_AGGLUTINARIS	2_CAPAS	TANGENCIAL	SI	NO	NO	SI	3	NO	INTERMEDIARIOS	3_TIPOS	NO	SI	NO	NO	NO	NO	NO	NORMAL	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	NORMAL	ESTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	2	SI	OTROS	LISA	RADIAL	NO	NO	NO	DURO
POLYMASTIA_CONIGERA	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	2	NO	INTERMEDIARIOS	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	POLITILOTA	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	POLITILOTA	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	2	SI	?	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
POLYMASTIA_CORTICATA	2_CAPAS	PERPENDICULAR	SI	NO	NO	NO	4	NO	INTERMEDIARIOS	3_TIPOS	NO	SI	NO	NO	NO	NO	NO	FUSIFORME	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	ESTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	4	SI	?	LISA	RADIAL	NO	NO	NO	DURO
POLYMASTIA_ECTOFIBROSA	2_CAPAS	TANGENCIAL	SI	SI	NO	NO	2	NO	ECTOSOMICOS_DISPERSOS	3_TIPOS	NO	NO	NO	SI	NO	NO	NO	NORMAL	NORMAL	SIN_TILOSTILOS	SIN_MEGASCLERAS_ECTOSOMICAS	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	2	SI	OTROS	HISPIDEZ_MAYOR_HACIA_LA_BASE	RADIAL	NO	NO	NO	DURO
POLYMASTIA_FUSCA	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	3	NO	ECTOSOMICOS_EN_RAMILLETES	3_TIPOS	NO	NO	NO	SI	NO	NO	NO	NORMAL	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	ESTILO_TILOSTILO	SIN_EXOSTILOS	NORMAL	ESTILO_TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MASIVO_IRREGULAR	4	SI	OTROS	LISA	RADIAL	NO	NO	NO	DURO
POLYMASTIA_GRIMALDI	3_CAPAS	TANGENCIAL	SI	SI	NO	NO	3	NO	ECTOSOMICOS_DISPERSOS	3_TIPOS	NO	NO	NO	SI	NO	NO	NO	FUSIFORME	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	ESTILO_TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	4	SI	?	HISPIDEZ_MAYOR_HACIA_LA_BASE	RADIAL	NO	NO	NO	DURO
POLYMASTIA_HIRSUTA	2_CAPAS	PERPENDICULAR	SI	NO	NO	NO	4	NO	INTERMEDIARIOS	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	POLITILOTA	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	NORMAL	TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MASIVO_IRREGULAR	3	SI	?	SOLO_PAPILAS_LISAS	CONFUSA	NO	NO	NO	DURO
POLYMASTIA_INFLATA	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	3	NO	INTERMEDIARIOS_Y_ECTOSOMICOS	3_TIPOS	NO	NO	NO	NO	SI	NO	NO	SIN_ESPICULA_PRINCIPAL_ESTILO	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	2	SI	AMARILLO_PALIDO	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
POLYMASTIA_INFRAPILOSA	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	4	NO	ECTOSOMICOS_EN_RAMILLETES	3_TIPOS	NO	NO	NO	SI	NO	NO	NO	FUSIFORME	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	3	SI	AMARILLO_PALIDO	HISPIDEZ_MAYOR_HACIA_LA_BASE	RADIAL	NO	NO	NO	DURO
POLYMASTIA_INVAGINATA	2_CAPAS	PERPENDICULAR	SI	NO	NO	NO	2	NO	ECTOSOMICOS_EN_RAMILLETES	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_FUSIFORME	TILOSTILO	TILOSTILO_LISO	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	HEMISFERICA	1	SI	?	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
POLYMASTIA_LITTORALIS	2_CAPAS	TANGENCIAL_Y_PERPENDICULAR	SI	NO	NO	NO	4	NO	ECTOSOMICOS_EN_RAMILLETES	3_TIPOS	NO	SI	NO	NO	NO	NO	NO	FUSIFORME	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	2	SI	?	ATERCIOPELADA	RADIAL	NO	NO	NO	DURO
POLYMASTIA_MAMMILLARIS	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	2	NO	INTERMEDIARIOS	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	NORMAL	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	3	SI	AMARILLO_PALIDO	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
POLYMASTIA_MARTAE	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	2	NO	ECTOSOMICOS_EN_RAMILLETES	3_TIPOS	NO	NO	NO	SI	NO	NO	NO	POLITILOTA	POLITILOTA	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	TRILOBULADA_CON_VESICULA_AXIAL	CURVADA	TILOSTILO	SIN_EXOSTILOS	NORMAL	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MASIVO_IRREGULAR	2	SI	OTROS	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
POLYMASTIA_POLYTYLOTA	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	2	NO	INTERMEDIARIOS_Y_ECTOSOMICOS	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	POLITILOTA	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	1	SI	?	ATERCIOPELADA	RADIAL	NO	NO	NO	DURO
POLYMASTIA_RADIOSA	1_CAPA	SIN_CAPA_INTERNA_DEL_CORTEX	SI	NO	NO	NO	3	SI	ECTOSOMICOS_EN_RAMILLETES	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	SIN_EXOSTILOS	NORMAL	TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	1	SI	OTROS	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
POLYMASTIA_ROBUSTA	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	3	NO	INTERMEDIARIOS	2_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	NORMAL	TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	3	SI	?	ATERCIOPELADA	RADIAL	NO	NO	NO	DURO
